Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2018-01-16,176.190002441,192.460006714,58.8400001526,40.5400009155,132.009994507,72.8300018311,113.38999939,178.38999939,17.5096149445,1121.76000977,163.850006104,43.1399993896,88.3499984741,220.11000061,49.5900001526,75.2699966431,103.5,77.1699981689,96.1500015259,86.9700012207
2018-01-17,179.100006104,196.490005493,59.8600006104,41.2000007629,132.36000061,73.0699996948,113.529998779,177.600006104,16.6826915741,1131.97998047,168.649993896,44.3899993896,90.1399993896,224.720001221,50.2700004578,75.8600006104,106.160003662,77.2099990845,97.5599975586,88.0
2018-01-18,179.259994507,196.199996948,59.7599983215,41.2999992371,131.589996338,73.4499969482,114.239997864,179.800003052,16.125,1129.79003906,169.119995117,44.4799995422,90.0999984741,224.440002441,50.2299995422,75.3899993896,105.290000916,76.3700027466,96.4599990845,87.4300003052
2018-01-19,178.460006714,195.729995728,59.75,41.2900009155,131.300003052,73.1399993896,114.370002747,181.289993286,15.6346149445,1137.51000977,162.369995117,44.8199996948,90.0,230.11000061,50.5800018311,75.5500030518,105.629997253,76.4199981689,97.2600021362,87.1500015259
2018-01-22,177.0,197.839996338,60.6699981689,41.6599998474,132.559997559,73.2600021362,116.819999695,185.369995117,15.5480766296,1155.81005859,162.600006104,45.75,91.6100006104,233.690002441,50.7099990845,77.6299972534,106.660003662,79.7900009155,98.9499969482,88.25
2018-01-23,177.039993286,200.089996338,60.4700012207,42.0999984741,131.020004272,73.1200027466,117.839996338,189.350006104,16.2403850555,1169.9699707,166.25,46.0600013733,91.9000015259,238.910003662,51.1199989319,77.4199981689,106.900001526,79.2099990845,98.6900024414,88.3000030518
2018-01-24,174.220001221,197.779998779,60.4900016785,42.1699981689,131.38999939,72.6299972534,118.470001221,186.550003052,15.8076925278,1164.23999023,165.369995117,45.5099983215,91.8199996948,235.800003052,51.4500007629,77.5599975586,104.629997253,78.1800003052,97.6600036621,88.5299987793
2018-01-25,171.11000061,197.509994507,59.4799995422,41.9000015259,130.649993896,72.6800003052,117.449996948,187.479995728,15.5576925278,1170.36999512,165.470001221,45.2999992371,92.3300018311,236.350006104,51.5999984741,76.7399978638,104.169998169,77.3300018311,97.1800003052,88.3700027466
2018-01-26,171.509994507,201.300003052,60.3899993896,42.5600013733,131.190002441,74.0500030518,117.760002136,190.0,15.5096149445,1175.83996582,167.339996338,50.0800018311,94.0599975586,243.330001831,52.75,77.1800003052,106.589996338,77.6100006104,98.6900024414,89.0
2018-01-29,167.960006714,198.229995728,59.6599998474,42.8499984741,128.479995728,72.9899978638,116.580001831,185.979995728,15.653845787,1175.57995605,166.800003052,49.9799995422,93.9199981689,246.850006104,51.9399986267,76.2399978638,104.25,76.3799972534,96.3899993896,88.0100021362
2018-01-30,166.970001221,196.899993896,58.4599990845,42.25,125.230003357,72.4700012207,115.169998169,187.119995117,15.3365383148,1163.68994141,163.619995117,48.7900009155,92.7399978638,242.720001221,50.9599990845,74.7600021362,102.279998779,74.5400009155,94.3399963379,86.7799987793
2018-01-31,167.429992676,199.759994507,58.8100013733,41.5400009155,125.349998474,72.2300033569,115.0,186.88999939,15.5480766296,1169.93994141,163.699996948,48.1399993896,95.0100021362,245.800003052,51.5900001526,74.9700012207,102.400001526,73.5800018311,95.9700012207,87.3000030518
2018-02-01,167.779998779,199.380004883,59.3499984741,41.7000007629,125.569999695,72.5800018311,116.519996643,193.089996338,15.403845787,1167.69995117,162.399993896,47.6500015259,94.2600021362,240.5,51.6300010681,76.0999984741,100.86000061,75.5100021362,94.6900024414,89.0699996948
2018-02-02,160.5,195.63999939,57.7200012207,40.9300003052,118.580001831,70.5699996948,112.830001831,190.279998779,15.0384616852,1111.90002441,159.029998779,46.1500015259,91.7799987793,233.520004272,50.1300010681,73.5800018311,97.0100021362,73.6900024414,93.1900024414,84.5299987793
2018-02-05,156.490005493,190.270004272,55.9399986267,38.7799987793,112.620002747,68.4400024414,109.559997559,181.259994507,14.3365383148,1055.80004883,152.529998779,44.5200004578,88.0,213.699996948,48.0900001526,70.9100036621,95.2099990845,71.3499984741,89.7699966431,79.7200012207
2018-02-06,163.029998779,194.470001221,55.9399986267,40.1699981689,117.180000305,69.25,108.269996643,185.309997559,14.6826925278,1080.59997559,155.339996338,44.9099998474,91.3300018311,225.580001831,49.4000015259,71.2200012207,96.8799972534,71.0400009155,90.4599990845,78.3499984741
2018-02-07,159.539993286,192.339996338,55.6300010681,40.3400001526,115.290000916,68.9599990845,105.779998779,180.179992676,14.6634616852,1048.57995605,153.850006104,45.2000007629,89.6100006104,228.800003052,48.8699989319,69.8700027466,95.6100006104,69.75,89.8399963379,76.9400024414
2018-02-08,155.149993896,185.160003662,53.2400016785,38.7700004578,112.300003052,66.4000015259,101.040000916,171.580001831,13.8942308426,1001.52001953,147.589996338,42.75,85.0100021362,217.520004272,46.8400001526,68.4700012207,92.4400024414,67.4000015259,86.7699966431,76.0699996948
2018-02-09,156.410003662,187.990005493,52.0200004578,39.5299987793,113.5,69.0699996948,100.069999695,176.11000061,14.3653850555,1037.7800293,149.509994507,43.9500007629,88.1800003052,232.080001831,47.7299995422,68.1800003052,92.5999984741,65.1900024414,88.2200012207,75.7799987793
2018-02-12,162.710006714,192.149993896,53.4099998474,40.5999984741,113.980003357,70.3099975586,103.13999939,176.410003662,14.25,1051.93994141,151.399993896,44.8300018311,89.1299972534,228.029998779,48.1500015259,69.8700027466,93.5899963379,66.8399963379,88.8399963379,76.4199981689
2018-02-13,164.339996338,193.479995728,53.3199996948,41.2299995422,113.290000916,70.3799972534,102.470001221,173.149993896,14.1057691574,1052.09997559,150.75,44.4599990845,89.8300018311,232.630004883,48.4900016785,69.7200012207,93.7600021362,65.9199981689,89.4800033569,76.3000030518
2018-02-14,167.369995117,197.130004883,55.5099983215,42.0900001526,113.629997253,71.3099975586,106.760002136,179.520004272,14.3269233704,1069.69995117,154.759994507,45.3800010681,90.8099975586,241.419998169,49.4500007629,69.8499984741,93.3300018311,65.8700027466,92.6299972534,76.4599990845
2018-02-15,172.990005493,202.970001221,54.5400009155,44.0800018311,112.529998779,71.5,107.690002441,179.960006714,14.278845787,1089.52001953,156.009994507,45.9199981689,92.6600036621,246.5,50.6399993896,69.4300003052,92.7699966431,66.2099990845,93.0,76.2099990845
2018-02-16,172.429992676,201.559997559,54.6500015259,44.3300018311,112.13999939,72.9899978638,107.63999939,177.36000061,14.471154213,1094.80004883,156.179992676,45.5600013733,92.0,243.839996338,50.7099990845,68.1600036621,91.9899978638,66.2799987793,93.2699966431,76.5400009155
